1,2,2
1,3,12
1,4,7
1,5,33
1,6,38
1,7,5
1,8,37
1,9,38
1,10,41
1,11,39
1,12,38
1,13,8
1,14,10
1,15,14
1,16,7
1,17,36
1,18,11
1,19,9
1,20,34
1,21,10
1,22,34
1,23,11
1,24,35
1,25,26
1,26,32
1,27,35
1,28,14
1,29,34
1,30,6
1,31,10
1,32,17
1,33,8
1,34,37
1,35,10
1,36,16
1,37,39
1,38,35
1,39,27
1,40,9
1,41,39
1,42,10
1,43,13
1,44,30
1,45,11
1,46,32
1,47,31
1,48,34
1,49,7
1,50,28
1,51,33
1,52,7
1,53,7
1,54,13
1,55,32
1,56,16
1,57,29
1,58,8
1,59,37
1,60,15
1,61,11
1,62,12
1,63,19
1,64,34
1,65,18
1,66,24
1,67,31
1,68,14
1,69,27
1,70,33
1,71,35
1,72,25
1,73,25
1,74,6
1,75,12
1,76,38
1,77,32
1,78,34
1,79,15
1,80,18
1,81,35
1,82,30
1,83,12
1,84,12
1,85,24
1,86,19
1,87,33
1,88,24
1,89,26
1,90,25
1,91,28
1,92,16
1,93,17
1,94,20
1,95,21
1,96,20
2,3,14
2,4,7
2,5,35
2,6,40
2,7,5
2,8,39
2,9,40
2,10,43
2,11,41
2,12,40
2,13,10
2,14,10
2,15,14
2,16,9
2,17,38
2,18,11
2,19,9
2,20,36
2,21,8
2,22,36
2,23,11
2,24,37
2,25,26
2,26,34
2,27,37
2,28,16
2,29,36
2,30,4
2,31,10
2,32,19
2,33,8
2,34,39
2,35,12
2,36,18
2,37,41
2,38,37
2,39,29
2,40,11
2,41,41
2,42,12
2,43,15
2,44,32
2,45,13
2,46,34
2,47,33
2,48,36
2,49,9
2,50,30
2,51,35
2,52,9
2,53,9
2,54,15
2,55,34
2,56,18
2,57,31
2,58,8
2,59,39
2,60,17
2,61,13
2,62,14
2,63,21
2,64,36
2,65,20
2,66,26
2,67,33
2,68,16
2,69,29
2,70,35
2,71,37
2,72,27
2,73,27
2,74,8
2,75,12
2,76,38
2,77,34
2,78,36
2,79,17
2,80,20
2,81,37
2,82,32
2,83,14
2,84,12
2,85,26
2,86,21
2,87,35
2,88,26
2,89,28
2,90,27
2,91,30
2,92,16
2,93,19
2,94,22
